2022-12-20 06:23:22,918 INFO    MainThread:28240 [wandb_setup.py:_flush():68] Configure stats pid to 28240
2022-12-20 06:23:22,919 INFO    MainThread:28240 [wandb_setup.py:_flush():68] Loading settings from C:\Users\SeongJae-Yoo\.config\wandb\settings
2022-12-20 06:23:22,919 INFO    MainThread:28240 [wandb_setup.py:_flush():68] Loading settings from C:\Users\SeongJae-Yoo\AI-InvestmentBot\wandb\settings
2022-12-20 06:23:22,919 INFO    MainThread:28240 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'seongjae-yoo', 'project': 'NAVER', 'sweep_id': 'pv6otcpf', 'root_dir': 'C:\\Users\\SeongJae-Yoo\\AI-InvestmentBot', 'run_id': 't3ashgej', 'sweep_param_path': 'C:\\Users\\SeongJae-Yoo\\AI-InvestmentBot\\wandb\\sweep-pv6otcpf\\config-t3ashgej.yaml'}
2022-12-20 06:23:22,920 INFO    MainThread:28240 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'demo.py', 'program': 'demo.py'}
2022-12-20 06:23:22,920 INFO    MainThread:28240 [wandb_init.py:_log_setup():476] Logging user logs to C:\Users\SeongJae-Yoo\AI-InvestmentBot\wandb\run-20221220_062322-t3ashgej\logs\debug.log
2022-12-20 06:23:22,920 INFO    MainThread:28240 [wandb_init.py:_log_setup():477] Logging internal logs to C:\Users\SeongJae-Yoo\AI-InvestmentBot\wandb\run-20221220_062322-t3ashgej\logs\debug-internal.log
2022-12-20 06:23:22,920 INFO    MainThread:28240 [wandb_init.py:init():516] calling init triggers
2022-12-20 06:23:22,920 INFO    MainThread:28240 [wandb_init.py:init():520] wandb.init called with sweep_config: {'BatchNormalization_momentum': 0.999, 'BiLstm_units': 20, 'Conv1D_strides': 40, 'Conv1D_units': 30, 'MaxPooling1D_strides': 2, 'dropout': 0.2}
config: {}
2022-12-20 06:23:22,920 INFO    MainThread:28240 [wandb_init.py:init():569] starting backend
2022-12-20 06:23:22,920 INFO    MainThread:28240 [wandb_init.py:init():573] setting up manager
2022-12-20 06:23:22,928 INFO    MainThread:28240 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2022-12-20 06:23:22,938 INFO    MainThread:28240 [wandb_init.py:init():580] backend started and connected
2022-12-20 06:23:22,946 INFO    MainThread:28240 [wandb_run.py:_config_callback():1160] config_cb None None {'BatchNormalization_momentum': 0.999, 'BiLstm_units': 20, 'Conv1D_strides': 40, 'Conv1D_units': 30, 'MaxPooling1D_strides': 2, 'dropout': 0.2}
2022-12-20 06:23:22,946 INFO    MainThread:28240 [wandb_init.py:init():658] updated telemetry
2022-12-20 06:23:23,059 INFO    MainThread:28240 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-12-20 06:23:23,653 INFO    MainThread:28240 [wandb_run.py:_on_init():2000] communicating current version
2022-12-20 06:23:24,249 INFO    MainThread:28240 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.13.7 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-12-20 06:23:24,249 INFO    MainThread:28240 [wandb_init.py:init():728] starting run threads in backend
2022-12-20 06:23:29,281 INFO    MainThread:28240 [wandb_run.py:_console_start():1980] atexit reg
2022-12-20 06:23:29,281 INFO    MainThread:28240 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-12-20 06:23:29,281 INFO    MainThread:28240 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-12-20 06:23:29,281 INFO    MainThread:28240 [wandb_run.py:_redirect():1925] Redirects installed.
2022-12-20 06:23:29,282 INFO    MainThread:28240 [wandb_init.py:init():765] run started, returning control to user process
