2023-02-21 23:12:04,083 INFO    MainThread:19712 [wandb_setup.py:_flush():68] Configure stats pid to 19712
2023-02-21 23:12:04,084 INFO    MainThread:19712 [wandb_setup.py:_flush():68] Loading settings from C:\Users\SeongJae-Yoo\.config\wandb\settings
2023-02-21 23:12:04,084 INFO    MainThread:19712 [wandb_setup.py:_flush():68] Loading settings from C:\Users\SeongJae-Yoo\AI-InvestmentBot\wandb\settings
2023-02-21 23:12:04,084 INFO    MainThread:19712 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-21 23:12:04,084 INFO    MainThread:19712 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'demo.py', 'program': 'demo.py'}
2023-02-21 23:12:04,084 INFO    MainThread:19712 [wandb_init.py:_log_setup():492] Logging user logs to C:\Users\SeongJae-Yoo\AI-InvestmentBot\wandb\run-20230221_231204-wsojtubn\logs\debug.log
2023-02-21 23:12:04,085 INFO    MainThread:19712 [wandb_init.py:_log_setup():493] Logging internal logs to C:\Users\SeongJae-Yoo\AI-InvestmentBot\wandb\run-20230221_231204-wsojtubn\logs\debug-internal.log
2023-02-21 23:12:04,085 INFO    MainThread:19712 [wandb_init.py:init():532] calling init triggers
2023-02-21 23:12:04,085 INFO    MainThread:19712 [wandb_init.py:init():539] wandb.init called with sweep_config: {}
config: {}
2023-02-21 23:12:04,085 INFO    MainThread:19712 [wandb_init.py:init():588] starting backend
2023-02-21 23:12:04,085 INFO    MainThread:19712 [wandb_init.py:init():592] setting up manager
2023-02-21 23:12:04,094 INFO    MainThread:19712 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=spawn, using: spawn
2023-02-21 23:12:04,106 INFO    MainThread:19712 [wandb_init.py:init():599] backend started and connected
2023-02-21 23:12:04,113 INFO    MainThread:19712 [wandb_init.py:init():687] updated telemetry
2023-02-21 23:12:04,199 INFO    MainThread:19712 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-21 23:12:05,985 INFO    MainThread:19712 [wandb_run.py:_on_init():2134] communicating current version
2023-02-21 23:12:07,333 INFO    MainThread:19712 [wandb_run.py:_on_init():2143] got version response 
2023-02-21 23:12:07,333 INFO    MainThread:19712 [wandb_init.py:init():775] starting run threads in backend
2023-02-21 23:12:07,686 INFO    MainThread:19712 [wandb_run.py:_console_start():2114] atexit reg
2023-02-21 23:12:07,686 INFO    MainThread:19712 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-21 23:12:07,687 INFO    MainThread:19712 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-21 23:12:07,687 INFO    MainThread:19712 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-21 23:12:07,687 INFO    MainThread:19712 [wandb_init.py:init():817] run started, returning control to user process
2023-02-21 23:21:56,388 WARNING MsgRouterThr:19712 [router.py:message_loop():77] message_loop has been closed
